epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,888.278,1.43477,3.96455,1.20487,0.41703,0.08493,0.06758,0.04258,1.4117,2.83126,1.16256,0.000132444,0.000132444,0.000132444
2,954.482,1.44273,2.72583,1.2183,0.55824,0.13005,0.11447,0.06618,1.36431,2.05318,1.16781,0.000260515,0.000260515,0.000260515
3,1018.9,1.39861,2.24504,1.20954,0.52173,0.15498,0.13824,0.08239,1.33906,1.90443,1.19326,0.000383306,0.000383306,0.000383306
4,1084.2,1.37208,2.05168,1.20612,0.55155,0.18669,0.16582,0.10174,1.3186,1.74097,1.16544,0.00037624,0.00037624,0.00037624
5,1149.64,1.35361,1.9543,1.20019,0.60931,0.18431,0.19563,0.12409,1.28788,1.64979,1.14294,0.00036832,0.00036832,0.00036832
6,1214.34,1.30993,1.86766,1.18022,0.58811,0.19273,0.1906,0.11523,1.29394,1.61514,1.14017,0.0003604,0.0003604,0.0003604
7,1280.91,1.30963,1.78361,1.17572,0.54898,0.23824,0.2221,0.14188,1.24676,1.50131,1.12602,0.00035248,0.00035248,0.00035248
8,1347.47,1.29535,1.73447,1.16731,0.636,0.2108,0.22115,0.13675,1.2772,1.54591,1.13892,0.00034456,0.00034456,0.00034456
9,1413.4,1.27472,1.65481,1.15661,0.55089,0.27319,0.2388,0.15394,1.23711,1.45055,1.11765,0.00033664,0.00033664,0.00033664
10,1478.77,1.27867,1.63489,1.15849,0.55993,0.25088,0.25123,0.16193,1.25681,1.44074,1.12164,0.00032872,0.00032872,0.00032872
11,1546.7,1.24903,1.60462,1.14608,0.55664,0.26687,0.24642,0.15791,1.24767,1.42198,1.11954,0.0003208,0.0003208,0.0003208
12,1612.28,1.23352,1.56834,1.141,0.53799,0.2839,0.25722,0.16765,1.22622,1.38836,1.12249,0.00031288,0.00031288,0.00031288
13,1677.59,1.22836,1.53571,1.13257,0.56216,0.26156,0.25152,0.16102,1.21345,1.34768,1.11103,0.00030496,0.00030496,0.00030496
14,1742.29,1.21655,1.49205,1.12868,0.6159,0.24767,0.26348,0.1731,1.20292,1.31935,1.10136,0.00029704,0.00029704,0.00029704
15,1809.98,1.22851,1.47141,1.13146,0.61018,0.27591,0.27074,0.17853,1.20007,1.31991,1.09816,0.00028912,0.00028912,0.00028912
16,1876.14,1.2204,1.4531,1.12598,0.63699,0.24457,0.26905,0.17429,1.21839,1.34443,1.11302,0.0002812,0.0002812,0.0002812
17,1940.31,1.20998,1.41232,1.13085,0.55956,0.27313,0.29061,0.1896,1.18481,1.2903,1.09348,0.00027328,0.00027328,0.00027328
18,2006.78,1.21715,1.41092,1.12271,0.56241,0.29995,0.29603,0.19611,1.18329,1.2523,1.09398,0.00026536,0.00026536,0.00026536
19,2073.22,1.18519,1.37168,1.11168,0.58278,0.27476,0.2919,0.19179,1.19352,1.24565,1.08953,0.00025744,0.00025744,0.00025744
20,2141.04,1.20146,1.36368,1.11406,0.60557,0.2806,0.30512,0.20206,1.19104,1.24371,1.09788,0.00024952,0.00024952,0.00024952
21,2205.61,1.1949,1.34273,1.11127,0.60595,0.27777,0.30094,0.20045,1.19734,1.25146,1.09089,0.0002416,0.0002416,0.0002416
22,2271.77,1.16857,1.31412,1.10555,0.56625,0.30686,0.30713,0.20102,1.19757,1.22583,1.09454,0.00023368,0.00023368,0.00023368
23,2337.59,1.16264,1.28494,1.09684,0.60585,0.30194,0.31729,0.2114,1.17548,1.21293,1.08161,0.00022576,0.00022576,0.00022576
24,2404.19,1.16429,1.28016,1.09715,0.51733,0.36448,0.33103,0.22257,1.15668,1.18765,1.07078,0.00021784,0.00021784,0.00021784
25,2470.25,1.15288,1.26884,1.09795,0.61144,0.2954,0.32037,0.21073,1.16618,1.19705,1.08111,0.00020992,0.00020992,0.00020992
26,2536.08,1.14318,1.24468,1.08738,0.48429,0.34887,0.33323,0.22332,1.15836,1.17932,1.07634,0.000202,0.000202,0.000202
27,2602.41,1.15096,1.23392,1.09015,0.57625,0.3148,0.32248,0.21675,1.15645,1.18907,1.07006,0.00019408,0.00019408,0.00019408
